address,zip,price,beds,baths,sqft,year_built,property_type,latitude,longitude
"741 Ne 87th St, Miami, FL 33138",33138,8499,3,2.0,1868.0,1948.0,Single Family,25.855549,-80.182051
"7920 Ne 2nd Ave, Miami, FL 33138",33138,2000,0,1.0,510.0,,Apartment,25.84791,-80.193222
"8850 Ne 8th Ct, Unit 8850, Miami, FL 33138",33138,9500,3,4.0,2300.0,2024.0,Single Family,25.856893,-80.18009
"8261 Ne 3rd Ave, Miami, FL 33138",33138,1550,1,1.0,450.0,,Apartment,25.851086,-80.19104
"8000 Ne Bayshore Ct, Miami, FL 33138",33138,1500,0,1.0,420.0,,Apartment,25.849104,-80.174545
"8295 Ne Miami Ct, Apt 1, Miami, FL 33138",33138,2200,2,1.0,1000.0,1972.0,Apartment,25.851382,-80.196231
"533 Ne 67th St, Unit 533, Miami, FL 33138",33138,2850,2,2.0,1000.0,1948.0,Apartment,25.837578,-80.18572
"8000 Ne Bayshore Ct, Apt 118, Miami, FL 33138",33138,1550,0,1.0,420.0,1956.0,Apartment,25.849312,-80.173264
"8000 Ne Bayshore Ct, Apt 211, Miami, FL 33138",33138,1575,0,1.0,420.0,1956.0,Apartment,25.849307,-80.17324
"1101 Ne 80th St, Apt 201, Miami, FL 33138",33138,2375,2,1.0,900.0,1970.0,Apartment,25.8491,-80.174149
"8000 Ne Bayshore Ct, Apt 115, Miami, FL 33138",33138,1500,0,1.0,420.0,1956.0,Apartment,25.849309,-80.17326
"667 Ne 105th St, Miami Shores, FL 33138",33138,9850,3,3.5,2004.0,1948.0,Single Family,25.872171,-80.184198
"1296 Ne 99th St, Miami Shores, FL 33138",33138,8750,3,2.5,2317.0,1951.0,Single Family,25.86638,-80.171622
"7800 Ne 10th Ct, Apt 2, Miami, FL 33138",33138,2300,1,1.0,550.0,1955.0,Apartment,25.846981,-80.175873
"780 Ne 69th St, Apt 1705, Miami, FL 33138",33138,2700,2,2.0,1242.0,1982.0,Condo,25.838874,-80.180012
"7800 Ne 10th Ct, Apt 1, Miami, FL 33138",33138,2300,1,1.0,550.0,1955.0,Apartment,25.846895,-80.175872
"1240 Ne 83rd St, Unit 1240, Miami, FL 33138",33138,10000,3,2.0,2468.0,1963.0,Single Family,25.851754,-80.17297
"120 Ne 71st St, Apt 4, Miami, FL 33138",33138,1800,1,1.0,575.0,,Apartment,25.839884,-80.194077
"8900 Ne 1st Ave, El Portal, FL 33138",33138,4900,4,2.5,3119.0,1927.0,Single Family,25.85701,-80.195413
"680 Ne 64th St, Apt A215, Miami, FL 33138",33138,2200,1,1.0,723.0,1972.0,Condo,25.834733,-80.182307
"746 Ne 80th St, Unit E2, Miami, FL 33138",33138,1450,1,1.0,2809.0,1930.0,Condo,25.848517,-80.181774
"330 Ne 86th St, El Portal, FL 33138",33138,5475,3,2.0,1405.0,1938.0,Single Family,25.853959,-80.190556
"8000 Ne Bayshore Ct, Apt 106, Miami, FL 33138",33138,2200,2,1.0,700.0,1956.0,Apartment,25.849312,-80.173264
"640 Ne 71st St, Miami, FL 33138",33138,8500,3,2.0,1770.0,1924.0,Single Family,25.840057,-80.183539
"121 Ne 82nd Ter, Apt 5, Miami, FL 33138",33138,1750,1,1.0,2988.0,1954.0,Apartment,25.850917,-80.194914
"131 Ne 77th St, Apt 5, Miami, FL 33138",33138,2100,2,1.0,6090.0,1975.0,Apartment,25.845787,-80.194239
"100 Ne 71st St, Unit 100, Miami, FL 33138",33138,2400,2,1.0,650.0,1954.0,Apartment,25.83987,-80.194458
"1101 Ne 80th St, Miami, FL 33138",33138,1950,1,1.0,700.0,,Apartment,25.8491,-80.174149
"2000 Towerside Ter, Apt 407, Miami, FL 33138",33138,3900,2,2.0,1535.0,1981.0,Condo,25.872848,-80.169688
"1101 Ne 80th St, Apt 107, Miami, FL 33138",33138,1950,1,1.0,750.0,1970.0,Apartment,25.849289,-80.17426
"6701 Ne Miami Pl, Unit 1, Miami, FL 33138",33138,2275,2,1.0,1440.0,1954.0,Apartment,25.836571,-80.195151
"88 Ne 68th Ter, Unit 88, Miami, FL 33138",33138,1900,2,1.0,800.0,1946.0,Apartment,25.837605,-80.195013
"7820 Ne Bayshore Ct, Apt 104, Miami, FL 33138",33138,1700,1,1.0,9916.0,1970.0,Apartment,25.846731,-80.173616
"577 Ne 82nd St, Apt 14, Miami, FL 33138",33138,1700,1,1.0,890.0,1950.0,Apartment,25.850257,-80.18531
"780 Ne 69th St, Apt 2008, Miami, FL 33138",33138,2900,2,2.0,1219.0,1982.0,Condo,25.838874,-80.180012
"8660 Arboretum Ln, Miami, FL 33138",33138,15000,4,3.0,2890.0,2017.0,Single Family,25.854848,-80.178862
"750 Ne 64th St, Apt B415, Miami, FL 33138",33138,2600,1,1.0,723.0,1972.0,Condo,25.83445,-80.181168
"560 Ne 63rd St, Apt 3, Miami, FL 33138",33138,2500,2,2.0,2803.0,1969.0,Apartment,25.833917,-80.185029
"1050 Ne 82nd St, Unit 1, Miami, FL 33138",33138,1199,1,1.0,1790.0,1941.0,Single Family,25.850176,-80.175406
"1050 Ne 82nd St, Unit 2, Miami, FL 33138",33138,1399,1,1.0,1790.0,1941.0,Apartment,25.850176,-80.175406
"530 Ne 91st St, Miami Shores, FL 33138",33138,8500,3,2.0,1908.0,1971.0,Single Family,25.858623,-80.186461
"710 Ne 62nd St, Miami, FL 33138",33138,5300,3,2.0,1042.0,1951.0,Single Family,25.833108,-80.181754
"1101 Ne 80th St, Apt 307, Miami, FL 33138",33138,2000,1,1.0,750.0,1970.0,Apartment,25.849289,-80.17426
"750 Ne 72nd Ter, Miami, FL 33138",33138,4350,2,2.0,1584.0,1963.0,Single Family,25.841574,-80.18086
"780 Ne 69th St, Apt 504, Miami, FL 33138",33138,2550,2,2.0,1225.0,1982.0,Condo,25.838874,-80.180012
"505 Ne 82nd St, Apt 9, Miami, FL 33138",33138,1550,1,1.0,7494.0,1947.0,Apartment,25.850373,-80.186178
"1385 Ne 105th St, Apt 1, Miami Shores, FL 33138",33138,2000,1,1.0,1000.0,1962.0,Apartment,25.872404,-80.16908
"9160 Ne 8th Ave, Unit 2J, Miami Shores, FL 33138",33138,2100,2,1.0,861.0,1949.0,Condo,25.859487,-80.181618
"576 Ne 63rd St, Apt 8, Miami, FL 33138",33138,2100,2,1.0,650.0,1925.0,Apartment,25.833924,-80.184701
"1100 S Miami Ave, Apt 1005, Miami, FL 33130",33130,2600,0,1.0,531.0,2015.0,Condo,25.763221,-80.193663
"546 Sw 1st St, Apt 404, Miami, FL 33130",33130,2200,2,1.0,791.0,1988.0,Condo,25.772536,-80.203669
"479 Sw 3rd St, Apt 4, Miami, FL 33130",33130,1775,1,1.0,475.0,1960.0,Apartment,25.77124,-80.202467
"90 Sw 3rd St, Apt 2015, Miami, FL 33130",33130,4000,2,2.0,1129.0,2008.0,Condo,25.77031,-80.195202
"45 Sw 9th St, Apt 1904, Miami, FL 33130",33130,4300,1,2.0,843.0,2017.0,Condo,25.765667,-80.193781
"88 Sw 7th St, Apt 1810, Miami, FL 33130",33130,7500,2,2.0,1370.0,2016.0,Condo,25.767046,-80.194498
"690 Sw 1st Ct, Apt 2726, Miami, FL 33130",33130,2600,1,1.0,638.0,2006.0,Condo,25.7679,-80.196227
"275 Sw 6th St, Apt 507, Miami, FL 33130",33130,2868,0,1.0,604.0,2025.0,Apartment,25.768666,-80.198501
"842 Sw 3rd St, Unit 844, Miami, FL 33130",33130,2200,2,1.0,1930.0,1938.0,Apartment,25.770624,-80.208511
"60 Sw 13th St, Apt 2215, Miami, FL 33130",33130,2800,1,1.5,631.0,2008.0,Condo,25.761038,-80.194399
"45 Sw 9th St, Apt 2303, Miami, FL 33130",33130,7795,2,2.0,1121.0,2017.0,Condo,25.765667,-80.193781
"143 Sw 9th St, Apt 205, Miami, FL 33130",33130,1950,1,1.0,31750.0,1968.0,Apartment,25.765621,-80.196553
"45 Sw 9th St, Apt 3703, Miami, FL 33130",33130,7600,2,2.0,1121.0,2017.0,Condo,25.765667,-80.193781
"690 Sw 1st Ct, Apt 1934, Miami, FL 33130",33130,2699,1,1.0,602.0,2006.0,Apartment,25.7679,-80.196227
"134 Sw 7th Ave, Apt 403, Miami, FL 33130",33130,1700,1,1.0,700.0,2005.0,Condo,25.772075,-80.206232
"45 Sw 9th St, Apt 2001, Miami, FL 33130",33130,6000,2,2.0,1042.0,2017.0,Condo,25.765667,-80.193781
"526 Sw 2nd St, Miami, FL 33130",33130,4000,3,3.0,1550.0,2025.0,Townhouse,25.771612,-80.20325
"92 Sw 3rd St, Apt 1801, Miami, FL 33130",33130,6150,3,3.0,1544.0,2010.0,Condo,25.769557,-80.195198
